Warning: Forcing loader_workers=0 to avoid multiprocessing issues (was 7)
Starting experiment
Using device: mps
Using Apple Metal Performance Shaders (MPS)
task: Task.NEIGHBORS_MATCH
type: GNN_TYPE.GAT
dim: 32
depth: 4
num_layers: 5
train_fraction: 0.8
max_epochs: 50000
eval_every: 100
batch_size: 1024
accum_grad: 1
stop: STOP.TRAIN
patience: 20
loader_workers: 7
last_layer_fully_adjacent: False
no_layer_norm: False
no_activation: False
no_residual: False
unroll: False

Training examples: 12800, test examples: 3200
Starting training
/Users/nilscollins/Documents/TUM/bottleneck/experiment.py:111: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  loader = DataLoader(self.X_train, batch_size=self.batch_size, shuffle=True,
Epoch 23000, LR: [0.001]: Train loss: 0.0649531, Train acc: 0.9833, Test accuracy: 0.8647
Epoch 23100, LR: [0.001]: Train loss: 0.0658279, Train acc: 0.9843, Test accuracy: 0.8600
Epoch 23200, LR: [0.001]: Train loss: 0.0773375, Train acc: 0.9827, Test accuracy: 0.8741
Epoch 23300, LR: [0.001]: Train loss: 0.0744529, Train acc: 0.9794, Test accuracy: 0.8750
Epoch 23400, LR: [0.001]: Train loss: 0.0624210, Train acc: 0.9872, Test accuracy: 0.8697 (new best train)
Epoch 23500, LR: [0.001]: Train loss: 0.0667821, Train acc: 0.9867, Test accuracy: 0.8725
Epoch 23600, LR: [0.001]: Train loss: 0.0704700, Train acc: 0.9838, Test accuracy: 0.8828
Epoch 23700, LR: [0.001]: Train loss: 0.0693984, Train acc: 0.9839, Test accuracy: 0.8638
Epoch 23800, LR: [0.001]: Train loss: 0.0533035, Train acc: 0.9885, Test accuracy: 0.8753 (new best train)
Epoch 23900, LR: [0.001]: Train loss: 0.0666264, Train acc: 0.9858, Test accuracy: 0.8862
Epoch 24000, LR: [0.001]: Train loss: 0.0646480, Train acc: 0.9863, Test accuracy: 0.7959
Epoch 24100, LR: [0.001]: Train loss: 0.0564036, Train acc: 0.9875, Test accuracy: 0.8831
Epoch 24200, LR: [0.001]: Train loss: 0.0544124, Train acc: 0.9891, Test accuracy: 0.8872 (new best train)
Epoch 24300, LR: [0.001]: Train loss: 0.0455165, Train acc: 0.9910, Test accuracy: 0.8856 (new best train)
Epoch 24400, LR: [0.001]: Train loss: 0.0705152, Train acc: 0.9845, Test accuracy: 0.8856
Epoch 24500, LR: [0.001]: Train loss: 0.0447581, Train acc: 0.9911, Test accuracy: 0.8884 (new best train)
Epoch 24600, LR: [0.001]: Train loss: 0.0449243, Train acc: 0.9909, Test accuracy: 0.8806
Epoch 24700, LR: [0.001]: Train loss: 0.0683867, Train acc: 0.9836, Test accuracy: 0.8850
Epoch 24800, LR: [0.001]: Train loss: 0.0456712, Train acc: 0.9909, Test accuracy: 0.8875
Epoch 24900, LR: [0.001]: Train loss: 0.0522295, Train acc: 0.9899, Test accuracy: 0.8881
Epoch 25000, LR: [0.001]: Train loss: 0.0439284, Train acc: 0.9909, Test accuracy: 0.8875
Epoch 25100, LR: [0.001]: Train loss: 0.0453729, Train acc: 0.9901, Test accuracy: 0.8878
Epoch 25200, LR: [0.001]: Train loss: 0.0653684, Train acc: 0.9846, Test accuracy: 0.8922
Epoch 25300, LR: [0.001]: Train loss: 0.0372011, Train acc: 0.9928, Test accuracy: 0.8894 (new best train)
Epoch 25400, LR: [0.001]: Train loss: 0.0443934, Train acc: 0.9923, Test accuracy: 0.8788
Epoch 25500, LR: [0.001]: Train loss: 0.0586918, Train acc: 0.9859, Test accuracy: 0.8953
Epoch 25600, LR: [0.001]: Train loss: 0.0480886, Train acc: 0.9910, Test accuracy: 0.8909
Epoch 25700, LR: [0.001]: Train loss: 0.0561464, Train acc: 0.9893, Test accuracy: 0.8909
Epoch 25800, LR: [0.001]: Train loss: 0.0299695, Train acc: 0.9952, Test accuracy: 0.8897 (new best train)
Epoch 25900, LR: [0.001]: Train loss: 0.0315474, Train acc: 0.9947, Test accuracy: 0.8909
Epoch 26000, LR: [0.001]: Train loss: 0.0708021, Train acc: 0.9843, Test accuracy: 0.8325
Epoch 26100, LR: [0.001]: Train loss: 0.0190258, Train acc: 0.9981, Test accuracy: 0.8909 (new best train)
Epoch 26200, LR: [0.001]: Train loss: 0.0510024, Train acc: 0.9902, Test accuracy: 0.8925
Epoch 26300, LR: [0.001]: Train loss: 0.0372845, Train acc: 0.9941, Test accuracy: 0.8962
Epoch 26400, LR: [0.001]: Train loss: 0.0441243, Train acc: 0.9905, Test accuracy: 0.8906
Epoch 26500, LR: [0.001]: Train loss: 0.0398327, Train acc: 0.9924, Test accuracy: 0.8925
Epoch 26600, LR: [0.001]: Train loss: 0.0446199, Train acc: 0.9903, Test accuracy: 0.8844
Epoch 26700, LR: [0.001]: Train loss: 0.0683843, Train acc: 0.9845, Test accuracy: 0.9025
Epoch 26800, LR: [0.001]: Train loss: 0.0129364, Train acc: 0.9999, Test accuracy: 0.8956 (new best train)
Epoch 26900, LR: [0.001]: Train loss: 0.0568945, Train acc: 0.9914, Test accuracy: 0.8950
Epoch 27000, LR: [0.001]: Train loss: 0.0411706, Train acc: 0.9924, Test accuracy: 0.8962
Epoch 27100, LR: [0.001]: Train loss: 0.0717642, Train acc: 0.9895, Test accuracy: 0.8981
Epoch 27200, LR: [0.001]: Train loss: 0.0318504, Train acc: 0.9948, Test accuracy: 0.8616
Epoch 27300, LR: [0.001]: Train loss: 0.0388131, Train acc: 0.9920, Test accuracy: 0.8997
Epoch 27400, LR: [0.001]: Train loss: 0.0342665, Train acc: 0.9926, Test accuracy: 0.9016
Epoch 27500, LR: [0.001]: Train loss: 0.0480721, Train acc: 0.9925, Test accuracy: 0.9016
Epoch 27600, LR: [0.001]: Train loss: 0.0114701, Train acc: 0.9999, Test accuracy: 0.8997
Epoch 27700, LR: [0.001]: Train loss: 0.0505725, Train acc: 0.9921, Test accuracy: 0.9044
Epoch 27800, LR: [0.001]: Train loss: 0.0335654, Train acc: 0.9931, Test accuracy: 0.9034
Epoch 27900, LR: [0.0005]: Train loss: 0.0389716, Train acc: 0.9924, Test accuracy: 0.9009
Epoch 28000, LR: [0.0005]: Train loss: 0.0082202, Train acc: 1.0000, Test accuracy: 0.9006 (new best train)
Achieved near-perfect accuracy (1.0000), stopping.
Best train acc: 1.0000, epoch: 28000

Warning: Forcing loader_workers=0 to avoid multiprocessing issues (was 7)
Starting experiment
Using device: mps
Using Apple Metal Performance Shaders (MPS)
task: Task.NEIGHBORS_MATCH
type: GNN_TYPE.GAT
dim: 32
depth: 5
num_layers: 6
train_fraction: 0.8
max_epochs: 50000
eval_every: 100
batch_size: 1024
accum_grad: 1
stop: STOP.TRAIN
patience: 20
loader_workers: 7
last_layer_fully_adjacent: False
no_layer_norm: False
no_activation: False
no_residual: False
unroll: False

Training examples: 25600, test examples: 6400
Starting training
/Users/nilscollins/Documents/TUM/bottleneck/experiment.py:111: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  loader = DataLoader(self.X_train, batch_size=self.batch_size, shuffle=True,
/Users/nilscollins/Documents/TUM/bottleneck/experiment.py:185: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  loader = DataLoader(self.X_test, batch_size=self.batch_size, shuffle=False,
Epoch 100, LR: [0.001]: Train loss: 3.4587087, Train acc: 0.0399, Test accuracy: 0.0306 (new best train)
Epoch 200, LR: [0.001]: Train loss: 3.4407789, Train acc: 0.0485, Test accuracy: 0.0331 (new best train)
Epoch 300, LR: [0.001]: Train loss: 3.3746265, Train acc: 0.0679, Test accuracy: 0.0302 (new best train)
Epoch 400, LR: [0.001]: Train loss: 3.3347765, Train acc: 0.0771, Test accuracy: 0.0281 (new best train)
Epoch 500, LR: [0.001]: Train loss: 3.3128481, Train acc: 0.0824, Test accuracy: 0.0283 (new best train)
Epoch 600, LR: [0.001]: Train loss: 3.2973364, Train acc: 0.0866, Test accuracy: 0.0269 (new best train)
Epoch 700, LR: [0.001]: Train loss: 3.2860387, Train acc: 0.0895, Test accuracy: 0.0278 (new best train)
Epoch 800, LR: [0.001]: Train loss: 3.2773089, Train acc: 0.0918, Test accuracy: 0.0281 (new best train)
Epoch 900, LR: [0.001]: Train loss: 3.2707990, Train acc: 0.0930, Test accuracy: 0.0308 (new best train)
Epoch 1000, LR: [0.001]: Train loss: 3.2645151, Train acc: 0.0940, Test accuracy: 0.0286 (new best train)
Epoch 1100, LR: [0.001]: Train loss: 3.2581881, Train acc: 0.0953, Test accuracy: 0.0259 (new best train)
Epoch 1200, LR: [0.001]: Train loss: 3.2534533, Train acc: 0.0965, Test accuracy: 0.0291 (new best train)
Epoch 1300, LR: [0.001]: Train loss: 3.2493658, Train acc: 0.0970, Test accuracy: 0.0288 (new best train)
Epoch 1400, LR: [0.001]: Train loss: 3.2467084, Train acc: 0.0978, Test accuracy: 0.0277 (new best train)
Epoch 1500, LR: [0.001]: Train loss: 3.2409512, Train acc: 0.0987, Test accuracy: 0.0255 (new best train)
Epoch 1600, LR: [0.001]: Train loss: 3.2379701, Train acc: 0.0993, Test accuracy: 0.0281 (new best train)
Epoch 1700, LR: [0.001]: Train loss: 3.2354840, Train acc: 0.1000, Test accuracy: 0.0278 (new best train)
Epoch 1800, LR: [0.001]: Train loss: 3.2317597, Train acc: 0.1009, Test accuracy: 0.0283 (new best train)
Epoch 1900, LR: [0.001]: Train loss: 3.2293845, Train acc: 0.1013, Test accuracy: 0.0269 (new best train)
Epoch 2000, LR: [0.001]: Train loss: 3.2255993, Train acc: 0.1021, Test accuracy: 0.0295 (new best train)
Epoch 2100, LR: [0.001]: Train loss: 3.2224934, Train acc: 0.1025, Test accuracy: 0.0297 (new best train)
Epoch 2200, LR: [0.001]: Train loss: 3.2191808, Train acc: 0.1032, Test accuracy: 0.0291 (new best train)
Epoch 2300, LR: [0.001]: Train loss: 3.2174379, Train acc: 0.1033, Test accuracy: 0.0295 (new best train)
Epoch 2400, LR: [0.001]: Train loss: 3.2141998, Train acc: 0.1042, Test accuracy: 0.0312 (new best train)
Epoch 2500, LR: [0.001]: Train loss: 3.2117461, Train acc: 0.1048, Test accuracy: 0.0291 (new best train)
Epoch 2600, LR: [0.001]: Train loss: 3.2088761, Train acc: 0.1055, Test accuracy: 0.0309 (new best train)
Epoch 2700, LR: [0.001]: Train loss: 3.2066873, Train acc: 0.1056, Test accuracy: 0.0308 (new best train)
Epoch 2800, LR: [0.001]: Train loss: 3.2053661, Train acc: 0.1059, Test accuracy: 0.0327 (new best train)
Epoch 2900, LR: [0.001]: Train loss: 3.2018517, Train acc: 0.1066, Test accuracy: 0.0303 (new best train)
Epoch 3000, LR: [0.001]: Train loss: 3.1993916, Train acc: 0.1074, Test accuracy: 0.0295 (new best train)
Epoch 3100, LR: [0.001]: Train loss: 3.1991452, Train acc: 0.1075, Test accuracy: 0.0297
Epoch 3200, LR: [0.001]: Train loss: 3.1962885, Train acc: 0.1080, Test accuracy: 0.0283 (new best train)
Epoch 3300, LR: [0.001]: Train loss: 3.1940897, Train acc: 0.1087, Test accuracy: 0.0272 (new best train)
Epoch 3400, LR: [0.001]: Train loss: 3.1930163, Train acc: 0.1087, Test accuracy: 0.0306
Epoch 3500, LR: [0.001]: Train loss: 3.1905177, Train acc: 0.1093, Test accuracy: 0.0284 (new best train)
Epoch 3600, LR: [0.001]: Train loss: 3.1889543, Train acc: 0.1100, Test accuracy: 0.0302 (new best train)
Epoch 3700, LR: [0.001]: Train loss: 3.1868486, Train acc: 0.1104, Test accuracy: 0.0261 (new best train)
Epoch 3800, LR: [0.001]: Train loss: 3.1857871, Train acc: 0.1108, Test accuracy: 0.0273 (new best train)
Epoch 3900, LR: [0.001]: Train loss: 3.1836213, Train acc: 0.1112, Test accuracy: 0.0297 (new best train)
Epoch 4000, LR: [0.001]: Train loss: 3.1827385, Train acc: 0.1110, Test accuracy: 0.0292
Epoch 4100, LR: [0.001]: Train loss: 3.1817682, Train acc: 0.1117, Test accuracy: 0.0284 (new best train)
Epoch 4200, LR: [0.001]: Train loss: 3.1802414, Train acc: 0.1121, Test accuracy: 0.0291 (new best train)
Epoch 4300, LR: [0.001]: Train loss: 3.1786799, Train acc: 0.1126, Test accuracy: 0.0300 (new best train)
Epoch 4400, LR: [0.001]: Train loss: 3.1777635, Train acc: 0.1127, Test accuracy: 0.0286 (new best train)
Epoch 4500, LR: [0.001]: Train loss: 3.1768034, Train acc: 0.1132, Test accuracy: 0.0305 (new best train)
Epoch 4600, LR: [0.001]: Train loss: 3.1753785, Train acc: 0.1134, Test accuracy: 0.0298 (new best train)
Epoch 4700, LR: [0.001]: Train loss: 3.1738243, Train acc: 0.1135, Test accuracy: 0.0294 (new best train)
Epoch 4800, LR: [0.001]: Train loss: 3.1723836, Train acc: 0.1140, Test accuracy: 0.0294 (new best train)
Epoch 4900, LR: [0.001]: Train loss: 3.1712458, Train acc: 0.1141, Test accuracy: 0.0284
Epoch 5000, LR: [0.001]: Train loss: 3.1696546, Train acc: 0.1145, Test accuracy: 0.0286 (new best train)
Epoch 5100, LR: [0.001]: Train loss: 3.1690444, Train acc: 0.1143, Test accuracy: 0.0261
Epoch 5200, LR: [0.001]: Train loss: 3.1677601, Train acc: 0.1145, Test accuracy: 0.0291
Epoch 5300, LR: [0.001]: Train loss: 3.1659198, Train acc: 0.1152, Test accuracy: 0.0273 (new best train)
Epoch 5400, LR: [0.001]: Train loss: 3.1645246, Train acc: 0.1154, Test accuracy: 0.0292 (new best train)
Epoch 5500, LR: [0.001]: Train loss: 3.1627242, Train acc: 0.1157, Test accuracy: 0.0267 (new best train)
Epoch 5600, LR: [0.001]: Train loss: 3.1621042, Train acc: 0.1157, Test accuracy: 0.0278
Epoch 5700, LR: [0.001]: Train loss: 3.1614391, Train acc: 0.1160, Test accuracy: 0.0289 (new best train)
Epoch 5800, LR: [0.001]: Train loss: 3.1606034, Train acc: 0.1163, Test accuracy: 0.0292 (new best train)
Epoch 5900, LR: [0.001]: Train loss: 3.1585627, Train acc: 0.1167, Test accuracy: 0.0277 (new best train)
Epoch 6000, LR: [0.001]: Train loss: 3.1580543, Train acc: 0.1167, Test accuracy: 0.0275
Epoch 6100, LR: [0.001]: Train loss: 3.1570843, Train acc: 0.1171, Test accuracy: 0.0292 (new best train)
Epoch 6200, LR: [0.001]: Train loss: 3.1562044, Train acc: 0.1171, Test accuracy: 0.0297
Epoch 6300, LR: [0.001]: Train loss: 3.1549020, Train acc: 0.1173, Test accuracy: 0.0281 (new best train)
Epoch 6400, LR: [0.001]: Train loss: 3.1538657, Train acc: 0.1179, Test accuracy: 0.0266 (new best train)
Epoch 6500, LR: [0.001]: Train loss: 3.1534549, Train acc: 0.1180, Test accuracy: 0.0275
Epoch 6600, LR: [0.001]: Train loss: 3.1531389, Train acc: 0.1180, Test accuracy: 0.0273 (new best train)
Epoch 6700, LR: [0.001]: Train loss: 3.1518446, Train acc: 0.1186, Test accuracy: 0.0297 (new best train)
Epoch 6800, LR: [0.001]: Train loss: 3.1503383, Train acc: 0.1190, Test accuracy: 0.0312 (new best train)
Epoch 6900, LR: [0.001]: Train loss: 3.1498184, Train acc: 0.1191, Test accuracy: 0.0289 (new best train)
Epoch 7000, LR: [0.001]: Train loss: 3.1491214, Train acc: 0.1194, Test accuracy: 0.0272 (new best train)
Epoch 7100, LR: [0.001]: Train loss: 3.1481551, Train acc: 0.1196, Test accuracy: 0.0303 (new best train)
Epoch 7200, LR: [0.001]: Train loss: 3.1466209, Train acc: 0.1200, Test accuracy: 0.0289 (new best train)
Epoch 7300, LR: [0.001]: Train loss: 3.1457655, Train acc: 0.1205, Test accuracy: 0.0264 (new best train)
Epoch 7400, LR: [0.001]: Train loss: 3.1450422, Train acc: 0.1209, Test accuracy: 0.0292 (new best train)
Epoch 7500, LR: [0.001]: Train loss: 3.1444877, Train acc: 0.1208, Test accuracy: 0.0256
Epoch 7600, LR: [0.001]: Train loss: 3.1434408, Train acc: 0.1210, Test accuracy: 0.0284 (new best train)
Epoch 7700, LR: [0.001]: Train loss: 3.1432656, Train acc: 0.1210, Test accuracy: 0.0270
Epoch 7800, LR: [0.001]: Train loss: 3.1428598, Train acc: 0.1211, Test accuracy: 0.0286
Epoch 7900, LR: [0.001]: Train loss: 3.1422680, Train acc: 0.1215, Test accuracy: 0.0286 (new best train)
Epoch 8000, LR: [0.001]: Train loss: 3.1415825, Train acc: 0.1215, Test accuracy: 0.0291
Epoch 8100, LR: [0.001]: Train loss: 3.1402231, Train acc: 0.1216, Test accuracy: 0.0292 (new best train)
Epoch 8200, LR: [0.001]: Train loss: 3.1407874, Train acc: 0.1215, Test accuracy: 0.0270
Epoch 8300, LR: [0.001]: Train loss: 3.1394747, Train acc: 0.1217, Test accuracy: 0.0281 (new best train)
Epoch 8400, LR: [0.001]: Train loss: 3.1387586, Train acc: 0.1220, Test accuracy: 0.0280 (new best train)
Epoch 8500, LR: [0.001]: Train loss: 3.1387120, Train acc: 0.1220, Test accuracy: 0.0283
Epoch 8600, LR: [0.001]: Train loss: 3.1370031, Train acc: 0.1224, Test accuracy: 0.0261 (new best train)
Epoch 8700, LR: [0.001]: Train loss: 3.1367311, Train acc: 0.1225, Test accuracy: 0.0264
Epoch 8800, LR: [0.001]: Train loss: 3.1368819, Train acc: 0.1226, Test accuracy: 0.0283 (new best train)
Epoch 8900, LR: [0.001]: Train loss: 3.1349439, Train acc: 0.1229, Test accuracy: 0.0270 (new best train)
Epoch 9000, LR: [0.001]: Train loss: 3.1348565, Train acc: 0.1229, Test accuracy: 0.0286
Epoch 9100, LR: [0.001]: Train loss: 3.1350219, Train acc: 0.1230, Test accuracy: 0.0278 (new best train)
Epoch 9200, LR: [0.001]: Train loss: 3.1343458, Train acc: 0.1230, Test accuracy: 0.0277
Epoch 9300, LR: [0.001]: Train loss: 3.1327638, Train acc: 0.1234, Test accuracy: 0.0275 (new best train)
Epoch 9400, LR: [0.001]: Train loss: 3.1326639, Train acc: 0.1232, Test accuracy: 0.0294
Epoch 9500, LR: [0.001]: Train loss: 3.1321199, Train acc: 0.1236, Test accuracy: 0.0295 (new best train)
Epoch 9600, LR: [0.001]: Train loss: 3.1321480, Train acc: 0.1235, Test accuracy: 0.0289
Epoch 9700, LR: [0.001]: Train loss: 3.1319217, Train acc: 0.1239, Test accuracy: 0.0267 (new best train)
Epoch 9800, LR: [0.001]: Train loss: 3.1311808, Train acc: 0.1240, Test accuracy: 0.0288
Epoch 9900, LR: [0.001]: Train loss: 3.1304903, Train acc: 0.1239, Test accuracy: 0.0262
Epoch 10000, LR: [0.001]: Train loss: 3.1287445, Train acc: 0.1244, Test accuracy: 0.0248 (new best train)
Epoch 10100, LR: [0.001]: Train loss: 3.1297474, Train acc: 0.1242, Test accuracy: 0.0288
Epoch 10200, LR: [0.001]: Train loss: 3.1297030, Train acc: 0.1241, Test accuracy: 0.0283
Epoch 10300, LR: [0.001]: Train loss: 3.1285165, Train acc: 0.1246, Test accuracy: 0.0289 (new best train)
Epoch 10400, LR: [0.001]: Train loss: 3.1289146, Train acc: 0.1244, Test accuracy: 0.0275
Epoch 10500, LR: [0.001]: Train loss: 3.1276478, Train acc: 0.1249, Test accuracy: 0.0267 (new best train)
Epoch 10600, LR: [0.001]: Train loss: 3.1275071, Train acc: 0.1248, Test accuracy: 0.0281
Epoch 10700, LR: [0.001]: Train loss: 3.1267338, Train acc: 0.1251, Test accuracy: 0.0289 (new best train)
Epoch 10800, LR: [0.001]: Train loss: 3.1266563, Train acc: 0.1252, Test accuracy: 0.0286 (new best train)
Epoch 10900, LR: [0.001]: Train loss: 3.1271768, Train acc: 0.1251, Test accuracy: 0.0270
Epoch 11000, LR: [0.001]: Train loss: 3.1265906, Train acc: 0.1253, Test accuracy: 0.0275
Epoch 11100, LR: [0.001]: Train loss: 3.1245539, Train acc: 0.1259, Test accuracy: 0.0275 (new best train)
Epoch 11200, LR: [0.001]: Train loss: 3.1241015, Train acc: 0.1257, Test accuracy: 0.0273
Epoch 11300, LR: [0.001]: Train loss: 3.1250254, Train acc: 0.1254, Test accuracy: 0.0281
Epoch 11400, LR: [0.001]: Train loss: 3.1250821, Train acc: 0.1256, Test accuracy: 0.0280
Epoch 11500, LR: [0.001]: Train loss: 3.1247055, Train acc: 0.1261, Test accuracy: 0.0266 (new best train)
Epoch 11600, LR: [0.001]: Train loss: 3.1234814, Train acc: 0.1260, Test accuracy: 0.0288
Epoch 11700, LR: [0.001]: Train loss: 3.1226455, Train acc: 0.1261, Test accuracy: 0.0275
Epoch 11800, LR: [0.001]: Train loss: 3.1222581, Train acc: 0.1262, Test accuracy: 0.0277 (new best train)
Epoch 11900, LR: [0.001]: Train loss: 3.1224205, Train acc: 0.1261, Test accuracy: 0.0273
Epoch 12000, LR: [0.001]: Train loss: 3.1217416, Train acc: 0.1265, Test accuracy: 0.0288 (new best train)
Epoch 12100, LR: [0.001]: Train loss: 3.1210947, Train acc: 0.1268, Test accuracy: 0.0277 (new best train)
Epoch 12200, LR: [0.001]: Train loss: 3.1207463, Train acc: 0.1267, Test accuracy: 0.0264
Epoch 12300, LR: [0.001]: Train loss: 3.1195573, Train acc: 0.1270, Test accuracy: 0.0258 (new best train)
Epoch 12400, LR: [0.001]: Train loss: 3.1200321, Train acc: 0.1268, Test accuracy: 0.0262
Epoch 12500, LR: [0.001]: Train loss: 3.1187463, Train acc: 0.1273, Test accuracy: 0.0264 (new best train)
Epoch 12600, LR: [0.001]: Train loss: 3.1192721, Train acc: 0.1270, Test accuracy: 0.0255
Epoch 12700, LR: [0.001]: Train loss: 3.1175602, Train acc: 0.1276, Test accuracy: 0.0272 (new best train)
Epoch 12800, LR: [0.001]: Train loss: 3.1178928, Train acc: 0.1275, Test accuracy: 0.0284
Epoch 12900, LR: [0.001]: Train loss: 3.1167968, Train acc: 0.1277, Test accuracy: 0.0281 (new best train)
Epoch 13000, LR: [0.001]: Train loss: 3.1171552, Train acc: 0.1277, Test accuracy: 0.0273
Epoch 13100, LR: [0.001]: Train loss: 3.1161988, Train acc: 0.1282, Test accuracy: 0.0280 (new best train)
Epoch 13200, LR: [0.001]: Train loss: 3.1166427, Train acc: 0.1277, Test accuracy: 0.0280
Epoch 13300, LR: [0.001]: Train loss: 3.1159074, Train acc: 0.1279, Test accuracy: 0.0278
Epoch 13400, LR: [0.001]: Train loss: 3.1143204, Train acc: 0.1284, Test accuracy: 0.0261 (new best train)
Epoch 13500, LR: [0.001]: Train loss: 3.1148961, Train acc: 0.1281, Test accuracy: 0.0273
Epoch 13600, LR: [0.001]: Train loss: 3.1137986, Train acc: 0.1287, Test accuracy: 0.0269 (new best train)
Epoch 13700, LR: [0.001]: Train loss: 3.1134870, Train acc: 0.1284, Test accuracy: 0.0284
Epoch 13800, LR: [0.001]: Train loss: 3.1133361, Train acc: 0.1285, Test accuracy: 0.0272
Epoch 13900, LR: [0.001]: Train loss: 3.1140080, Train acc: 0.1287, Test accuracy: 0.0295
Epoch 14000, LR: [0.001]: Train loss: 3.1128177, Train acc: 0.1289, Test accuracy: 0.0277 (new best train)
Epoch 14100, LR: [0.001]: Train loss: 3.1116024, Train acc: 0.1292, Test accuracy: 0.0288 (new best train)
Epoch 14200, LR: [0.001]: Train loss: 3.1135750, Train acc: 0.1286, Test accuracy: 0.0302
Epoch 14300, LR: [0.001]: Train loss: 3.1117705, Train acc: 0.1290, Test accuracy: 0.0264
Epoch 14400, LR: [0.001]: Train loss: 3.1124975, Train acc: 0.1290, Test accuracy: 0.0273
Epoch 14500, LR: [0.001]: Train loss: 3.1101883, Train acc: 0.1292, Test accuracy: 0.0273
Epoch 14600, LR: [0.001]: Train loss: 3.1110550, Train acc: 0.1291, Test accuracy: 0.0275
Epoch 14700, LR: [0.001]: Train loss: 3.1100790, Train acc: 0.1293, Test accuracy: 0.0289
Epoch 14800, LR: [0.001]: Train loss: 3.1103549, Train acc: 0.1293, Test accuracy: 0.0277 (new best train)
Epoch 14900, LR: [0.001]: Train loss: 3.1094734, Train acc: 0.1292, Test accuracy: 0.0281
Epoch 15000, LR: [0.001]: Train loss: 3.1094468, Train acc: 0.1293, Test accuracy: 0.0275
Epoch 15100, LR: [0.001]: Train loss: 3.1089507, Train acc: 0.1292, Test accuracy: 0.0288
Epoch 15200, LR: [0.001]: Train loss: 3.1094213, Train acc: 0.1295, Test accuracy: 0.0292 (new best train)
Epoch 15300, LR: [0.001]: Train loss: 3.1083375, Train acc: 0.1292, Test accuracy: 0.0280
Epoch 15400, LR: [0.001]: Train loss: 3.1092193, Train acc: 0.1292, Test accuracy: 0.0291
Epoch 15500, LR: [0.001]: Train loss: 3.1086463, Train acc: 0.1294, Test accuracy: 0.0288
Epoch 15600, LR: [0.001]: Train loss: 3.1074053, Train acc: 0.1295, Test accuracy: 0.0300
Epoch 15700, LR: [0.001]: Train loss: 3.1073765, Train acc: 0.1297, Test accuracy: 0.0281 (new best train)
Epoch 15800, LR: [0.001]: Train loss: 3.1073123, Train acc: 0.1297, Test accuracy: 0.0266
Epoch 15900, LR: [0.001]: Train loss: 3.1074013, Train acc: 0.1296, Test accuracy: 0.0291
Epoch 16000, LR: [0.001]: Train loss: 3.1079302, Train acc: 0.1296, Test accuracy: 0.0264
Epoch 16100, LR: [0.001]: Train loss: 3.1076535, Train acc: 0.1295, Test accuracy: 0.0281
Epoch 16200, LR: [0.001]: Train loss: 3.1071128, Train acc: 0.1296, Test accuracy: 0.0288
Epoch 16300, LR: [0.001]: Train loss: 3.1068722, Train acc: 0.1296, Test accuracy: 0.0294
Epoch 16400, LR: [0.001]: Train loss: 3.1066540, Train acc: 0.1298, Test accuracy: 0.0280
Epoch 16500, LR: [0.001]: Train loss: 3.1063855, Train acc: 0.1299, Test accuracy: 0.0269 (new best train)
Epoch 16600, LR: [0.001]: Train loss: 3.1052631, Train acc: 0.1300, Test accuracy: 0.0269
Epoch 16700, LR: [0.001]: Train loss: 3.1057509, Train acc: 0.1297, Test accuracy: 0.0261
Epoch 16800, LR: [0.001]: Train loss: 3.1055553, Train acc: 0.1298, Test accuracy: 0.0280
Epoch 16900, LR: [0.001]: Train loss: 3.1063808, Train acc: 0.1294, Test accuracy: 0.0281
Epoch 17000, LR: [0.001]: Train loss: 3.1054756, Train acc: 0.1296, Test accuracy: 0.0303
Epoch 17100, LR: [0.001]: Train loss: 3.1052681, Train acc: 0.1298, Test accuracy: 0.0277
Epoch 17200, LR: [0.001]: Train loss: 3.1046592, Train acc: 0.1303, Test accuracy: 0.0294 (new best train)
Epoch 17300, LR: [0.001]: Train loss: 3.1041213, Train acc: 0.1302, Test accuracy: 0.0259
Epoch 17400, LR: [0.001]: Train loss: 3.1042647, Train acc: 0.1304, Test accuracy: 0.0280 (new best train)
Epoch 17500, LR: [0.001]: Train loss: 3.1031761, Train acc: 0.1303, Test accuracy: 0.0280
Epoch 17600, LR: [0.001]: Train loss: 3.1027796, Train acc: 0.1302, Test accuracy: 0.0272
Epoch 17700, LR: [0.001]: Train loss: 3.1037133, Train acc: 0.1301, Test accuracy: 0.0267
Epoch 17800, LR: [0.001]: Train loss: 3.1032368, Train acc: 0.1302, Test accuracy: 0.0281
Epoch 17900, LR: [0.001]: Train loss: 3.1039920, Train acc: 0.1301, Test accuracy: 0.0269
Epoch 18000, LR: [0.001]: Train loss: 3.1020684, Train acc: 0.1306, Test accuracy: 0.0288 (new best train)
Epoch 18100, LR: [0.001]: Train loss: 3.1021416, Train acc: 0.1303, Test accuracy: 0.0270
Epoch 18200, LR: [0.001]: Train loss: 3.1028052, Train acc: 0.1300, Test accuracy: 0.0269
Epoch 18300, LR: [0.001]: Train loss: 3.1032763, Train acc: 0.1302, Test accuracy: 0.0280
